,Time,Air_Temperature (Â°C)
115,1996-02,-2.18
116,1997-02,4.1
117,1998-02,4.33
118,1999-02,0.39
119,2000-02,3.87
120,2001-02,2.26
121,2002-02,5.05
122,2003-02,-1.86
123,2004-02,2.42
124,2005-02,-1.03
125,2006-02,-0.36
126,2007-02,3.94
127,2008-02,3.72
128,2009-02,0.51
129,2010-02,-0.5
130,2011-02,0.93
131,2012-02,-2.5
132,2013-02,-0.72
133,2014-02,4.34
134,2015-02,0.72
135,2016-02,3.33
136,2017-02,2.9
137,2018-02,-1.87
138,2019-02,3.95
139,2020-02,5.29
140,2021-02,1.71
141,2022-02,4.47
142,2023-02,3.21
