,Time,Precipitation (l/mÂ²)
115,1996-06,51.8
116,1997-06,91.0
117,1998-06,96.2
118,1999-06,78.6
119,2000-06,50.5
120,2001-06,93.8
121,2002-06,70.9
122,2003-06,51.9
123,2004-06,72.6
124,2005-06,53.3
125,2006-06,47.2
126,2007-06,108.6
127,2008-06,59.1
128,2009-06,85.1
129,2010-06,49.4
130,2011-06,89.9
131,2012-06,97.1
132,2013-06,91.8
133,2014-06,51.4
134,2015-06,57.5
135,2016-06,115.5
136,2017-06,89.3
137,2018-06,47.4
138,2019-06,55.6
139,2020-06,90.9
140,2021-06,95.4
141,2022-06,56.2
142,2023-06,50.4
