,Date,Temperature (°C),Precipitation (l/m²)
0,1996-01,-2.82,7.0
1,1996-02,-2.18,48.6
2,1996-03,1.0,23.3
3,1996-04,8.4,23.1
4,1996-05,11.15,91.4
5,1996-06,15.65,51.8
6,1996-07,15.89,94.1
7,1996-08,17.15,87.7
8,1996-09,10.9,50.3
9,1996-10,9.17,79.0
10,1996-11,4.48,86.1
11,1996-12,-2.36,40.5
12,1997-01,-2.63,11.2
13,1997-02,4.1,85.2
14,1997-03,5.84,48.4
15,1997-04,6.36,45.4
16,1997-05,12.66,64.3
17,1997-06,15.85,91.0
18,1997-07,17.15,111.9
19,1997-08,19.81,44.9
20,1997-09,13.7,25.4
21,1997-10,7.66,63.7
22,1997-11,3.98,38.3
23,1997-12,2.2,84.3
24,1998-01,2.39,64.4
25,1998-02,4.33,20.5
26,1998-03,4.98,69.6
27,1998-04,8.85,74.7
28,1998-05,14.03,45.1
29,1998-06,16.45,96.2
30,1998-07,16.42,81.7
31,1998-08,16.73,62.9
32,1998-09,13.35,111.2
33,1998-10,8.7,166.1
34,1998-11,1.55,74.3
35,1998-12,0.99,52.9
36,1999-01,2.6,66.1
37,1999-02,0.39,84.0
38,1999-03,5.41,63.0
39,1999-04,8.9,58.4
40,1999-05,13.76,76.0
41,1999-06,15.23,78.6
42,1999-07,18.98,71.6
43,1999-08,17.17,68.6
44,1999-09,16.82,54.2
45,1999-10,8.99,41.8
46,1999-11,3.46,54.6
47,1999-12,2.17,121.1
48,2000-01,1.06,54.8
49,2000-02,3.87,95.2
50,2000-03,5.17,105.5
51,2000-04,10.15,35.4
52,2000-05,14.62,66.0
53,2000-06,16.99,50.5
54,2000-07,15.3,120.8
55,2000-08,17.6,71.1
56,2000-09,13.91,81.7
57,2000-10,10.56,58.7
58,2000-11,6.1,49.1
59,2000-12,3.12,49.1
60,2001-01,0.87,61.1
61,2001-02,2.26,58.6
62,2001-03,4.23,109.2
63,2001-04,7.1,73.6
64,2001-05,14.39,40.3
65,2001-06,14.34,93.8
66,2001-07,18.56,68.9
67,2001-08,18.59,68.3
68,2001-09,11.77,138.5
69,2001-10,12.48,45.3
70,2001-11,3.82,84.9
71,2001-12,-0.21,86.3
72,2002-01,1.19,47.4
73,2002-02,5.05,114.9
74,2002-03,5.39,62.9
75,2002-04,8.06,54.0
76,2002-05,13.77,79.1
77,2002-06,17.39,70.9
78,2002-07,17.71,116.2
79,2002-08,18.8,119.8
80,2002-09,13.15,58.4
81,2002-10,8.29,108.9
82,2002-11,5.55,114.5
83,2002-12,0.34,71.2
84,2003-01,-0.25,82.8
85,2003-02,-1.86,21.0
86,2003-03,5.34,27.4
87,2003-04,8.5,36.6
88,2003-05,14.14,66.0
89,2003-06,19.35,51.9
90,2003-07,19.11,68.0
91,2003-08,20.56,33.1
92,2003-09,13.85,52.8
93,2003-10,5.94,74.1
94,2003-11,6.02,38.8
95,2003-12,1.81,55.7
96,2004-01,-0.09,109.4
97,2004-02,2.42,51.3
98,2004-03,4.11,37.6
99,2004-04,9.35,40.1
100,2004-05,11.58,72.3
101,2004-06,15.27,72.6
102,2004-07,16.8,104.0
103,2004-08,18.43,89.2
104,2004-09,14.01,64.3
105,2004-10,10.08,53.3
106,2004-11,4.21,72.8
107,2004-12,1.08,45.1
108,2005-01,2.03,71.0
109,2005-02,-1.03,67.7
110,2005-03,3.63,44.0
111,2005-04,9.26,57.0
112,2005-05,12.76,84.5
113,2005-06,16.38,53.3
114,2005-07,18.02,110.0
115,2005-08,15.78,83.7
116,2005-09,14.99,56.3
117,2005-10,10.99,40.3
118,2005-11,4.17,48.1
119,2005-12,0.87,69.4
120,2006-01,-2.59,26.7
121,2006-02,-0.36,54.4
122,2006-03,1.52,84.1
123,2006-04,8.04,66.2
124,2006-05,13.06,94.5
125,2006-06,16.82,47.2
126,2006-07,21.99,49.5
127,2006-08,15.54,135.8
128,2006-09,16.9,30.3
129,2006-10,12.14,59.1
130,2006-11,7.03,55.5
131,2006-12,4.43,46.7
132,2007-01,4.76,98.2
133,2007-02,3.94,75.8
134,2007-03,6.18,63.3
135,2007-04,11.52,4.0
136,2007-05,14.16,131.1
137,2007-06,17.38,108.6
138,2007-07,17.24,121.3
139,2007-08,16.86,95.0
140,2007-09,12.58,97.4
141,2007-10,8.35,26.4
142,2007-11,3.67,85.3
143,2007-12,1.59,63.1
144,2008-01,3.65,74.0
145,2008-02,3.72,45.3
146,2008-03,4.24,86.9
147,2008-04,7.64,80.2
148,2008-05,14.51,30.2
149,2008-06,16.94,59.1
150,2008-07,18.02,88.6
151,2008-08,17.38,87.6
152,2008-09,12.44,57.1
153,2008-10,9.09,76.2
154,2008-11,5.06,44.7
155,2008-12,1.06,48.5
156,2009-01,-2.16,33.2
157,2009-02,0.51,62.1
158,2009-03,4.3,77.7
159,2009-04,11.83,30.3
160,2009-05,13.62,76.0
161,2009-06,14.81,85.1
162,2009-07,18.01,107.6
163,2009-08,18.65,42.5
164,2009-09,14.69,41.6
165,2009-10,8.17,79.4
166,2009-11,7.38,93.0
167,2009-12,0.32,84.2
168,2010-01,-3.65,46.8
169,2010-02,-0.5,48.5
170,2010-03,4.2,52.2
171,2010-04,8.69,20.8
172,2010-05,10.43,103.3
173,2010-06,16.33,49.4
174,2010-07,20.33,81.5
175,2010-08,16.7,161.6
176,2010-09,12.39,82.7
177,2010-10,8.13,35.8
178,2010-11,4.76,96.9
179,2010-12,-3.66,89.1
180,2011-01,0.95,63.8
181,2011-02,0.93,30.5
182,2011-03,4.91,20.4
183,2011-04,11.59,25.0
184,2011-05,13.87,44.1
185,2011-06,16.54,89.9
186,2011-07,16.1,124.0
187,2011-08,17.72,97.0
188,2011-09,15.22,58.6
189,2011-10,9.39,53.1
190,2011-11,4.5,2.4
191,2011-12,3.9,124.1
192,2012-01,1.91,105.1
193,2012-02,-2.5,25.0
194,2012-03,6.94,14.9
195,2012-04,8.15,42.7
196,2012-05,14.21,52.8
197,2012-06,15.47,97.1
198,2012-07,17.39,99.0
199,2012-08,18.43,64.7
200,2012-09,13.63,49.0
201,2012-10,8.72,60.7
202,2012-11,5.2,58.5
203,2012-12,1.49,98.0
204,2013-01,0.2,64.4
205,2013-02,-0.72,51.1
206,2013-03,0.07,33.4
207,2013-04,8.1,39.9
208,2013-05,11.78,128.2
209,2013-06,15.66,91.8
210,2013-07,19.45,38.9
211,2013-08,17.93,56.4
212,2013-09,13.27,83.4
213,2013-10,10.64,77.8
214,2013-11,4.63,72.1
215,2013-12,3.56,41.2
216,2014-01,2.12,44.9
217,2014-02,4.34,32.1
218,2014-03,6.94,18.6
219,2014-04,10.77,42.4
220,2014-05,12.4,90.4
221,2014-06,16.09,51.4
222,2014-07,19.3,126.6
223,2014-08,15.96,97.2
224,2014-09,14.92,54.5
225,2014-10,11.88,63.7
226,2014-11,6.47,29.7
227,2014-12,2.73,75.5
228,2015-01,2.19,85.4
229,2015-02,0.72,22.3
230,2015-03,5.18,55.5
231,2015-04,8.42,41.4
232,2015-05,12.34,51.7
233,2015-06,15.82,57.5
234,2015-07,19.39,72.2
235,2015-08,19.87,74.8
236,2015-09,12.96,56.3
237,2015-10,8.38,46.6
238,2015-11,7.51,101.0
239,2015-12,6.49,36.5
240,2016-01,1.01,77.3
241,2016-02,3.33,77.8
242,2016-03,4.01,45.5
243,2016-04,7.89,53.3
244,2016-05,13.69,67.7
245,2016-06,16.99,115.5
246,2016-07,18.61,70.0
247,2016-08,17.72,46.2
248,2016-09,16.85,39.1
249,2016-10,8.49,57.0
250,2016-11,3.83,57.3
251,2016-12,2.16,26.5
252,2017-01,-2.15,45.2
253,2017-02,2.9,44.6
254,2017-03,7.2,57.0
255,2017-04,7.42,41.4
256,2017-05,14.13,59.6
257,2017-06,17.76,89.3
258,2017-07,18.06,132.4
259,2017-08,17.87,85.6
260,2017-09,12.79,66.3
261,2017-10,11.14,76.7
262,2017-11,5.11,81.5
263,2017-12,2.71,79.1
264,2018-01,3.72,101.7
265,2018-02,-1.87,17.8
266,2018-03,2.36,50.9
267,2018-04,12.32,37.7
268,2018-05,16.03,52.0
269,2018-06,17.73,47.4
270,2018-07,20.29,40.0
271,2018-08,19.91,42.0
272,2018-09,15.09,44.2
273,2018-10,10.72,28.4
274,2018-11,5.21,20.2
275,2018-12,3.9,104.1
276,2019-01,0.63,81.8
277,2019-02,3.95,29.9
278,2019-03,6.58,74.7
279,2019-04,9.62,29.4
280,2019-05,10.99,78.6
281,2019-06,19.78,55.6
282,2019-07,18.9,56.0
283,2019-08,19.06,63.0
284,2019-09,14.05,64.5
285,2019-10,10.81,83.8
286,2019-11,5.22,58.9
287,2019-12,3.75,58.8
288,2020-01,3.48,40.5
289,2020-02,5.29,124.1
290,2020-03,5.27,50.9
291,2020-04,10.35,16.3
292,2020-05,11.91,38.4
293,2020-06,16.89,90.9
294,2020-07,17.69,51.8
295,2020-08,19.95,85.5
296,2020-09,14.82,50.0
297,2020-10,10.21,78.4
298,2020-11,6.18,20.7
299,2020-12,3.08,57.5
300,2021-01,0.63,80.2
301,2021-02,1.71,48.9
302,2021-03,4.77,46.0
303,2021-04,6.02,34.7
304,2021-05,10.72,94.9
305,2021-06,18.98,95.4
306,2021-07,18.37,107.2
307,2021-08,16.4,102.5
308,2021-09,15.16,35.3
309,2021-10,9.63,44.8
310,2021-11,4.9,49.7
311,2021-12,2.58,61.4
312,2022-01,2.79,58.2
313,2022-02,4.47,83.7
314,2022-03,5.09,15.0
315,2022-04,7.75,56.5
316,2022-05,14.44,47.0
317,2022-06,18.33,56.2
318,2022-07,19.13,37.8
319,2022-08,20.23,48.9
320,2022-09,13.37,100.0
321,2022-10,12.52,49.7
322,2022-11,6.35,48.9
323,2022-12,1.8,67.1
324,2023-01,3.62,69.4
325,2023-02,3.21,43.1
326,2023-03,5.74,90.4
327,2023-04,7.53,63.6
328,2023-05,13.08,42.7
329,2023-06,18.56,50.4
330,2023-07,18.72,97.0
